idSpatial,nodo,accion,site,spCode,idTratam,idReplica,idSubTrat,idCuadric
104,SN,C1,PORTUGOS,PS,T2,CONTROL,,PS_T2_CONTROL
105,SN,C1,PORTUGOS,PS,T3,A,1,PS_T3_A1
106,SN,C1,PORTUGOS,PS,T3,A,2,PS_T3_A2
107,SN,C1,PORTUGOS,PS,T3,A,3,PS_T3_A3
108,SN,C1,PORTUGOS,PS,T3,A,4,PS_T3_A4
109,SN,C1,PORTUGOS,PS,T3,B,1,PS_T3_B1
110,SN,C1,PORTUGOS,PS,T3,B,2,PS_T3_B2
111,SN,C1,PORTUGOS,PS,T3,B,3,PS_T3_B3
112,SN,C1,PORTUGOS,PS,T3,B,4,PS_T3_B4
113,SN,C1,PORTUGOS,PS,T3,C,1,PS_T3_C1
114,SN,C1,PORTUGOS,PS,T3,C,2,PS_T3_C2
115,SN,C1,PORTUGOS,PS,T3,C,3,PS_T3_C3
116,SN,C1,PORTUGOS,PS,T3,C,4,PS_T3_C4
117,SN,C1,PORTUGOS,PS,T3,CONTROL,,PS_T3_CONTROL
118,SN,C1,NACIMIENTO,PH,T2,A,1,PH_T2_A1
119,SN,C1,NACIMIENTO,PH,T2,A,2,PH_T2_A2
120,SN,C1,NACIMIENTO,PH,T2,A,3,PH_T2_A3
121,SN,C1,NACIMIENTO,PH,T2,A,4,PH_T2_A4
122,SN,C1,NACIMIENTO,PH,T2,B,1,PH_T2_B1
123,SN,C1,NACIMIENTO,PH,T2,B,2,PH_T2_B2
124,SN,C1,NACIMIENTO,PH,T2,B,3,PH_T2_B3
125,SN,C1,NACIMIENTO,PH,T2,B,4,PH_T2_B4
126,SN,C1,NACIMIENTO,PH,T2,C,1,PH_T2_C1
127,SN,C1,NACIMIENTO,PH,T2,C,2,PH_T2_C2
128,SN,C1,NACIMIENTO,PH,T2,C,3,PH_T2_C3
129,SN,C1,NACIMIENTO,PH,T2,C,4,PH_T2_C4
130,SN,C1,NACIMIENTO,PH,T3,A,1,PH_T3_A1
131,SN,C1,NACIMIENTO,PH,T3,A,2,PH_T3_A2
132,SN,C1,NACIMIENTO,PH,T3,A,3,PH_T3_A3
133,SN,C1,NACIMIENTO,PH,T3,A,4,PH_T3_A4
134,SN,C1,NACIMIENTO,PH,T3,B,1,PH_T3_B1
135,SN,C1,NACIMIENTO,PH,T3,B,2,PH_T3_B2
136,SN,C1,NACIMIENTO,PH,T3,B,3,PH_T3_B3
137,SN,C1,NACIMIENTO,PH,T3,B,4,PH_T3_B4
138,SN,C1,NACIMIENTO,PH,T3,C,1,PH_T3_C1
139,SN,C1,NACIMIENTO,PH,T3,C,2,PH_T3_C2
140,SN,C1,NACIMIENTO,PH,T3,C,3,PH_T3_C3
141,SN,C1,NACIMIENTO,PH,T3,C,4,PH_T3_C4
142,SN,C1,NACIMIENTO,PH,W,CONTROL,,PH_W_CONTROL
143,SN,C1,NACIMIENTO,PH,C,CONTROL,,PH_C_CONTROL
144,SN,C1,NACIMIENTO,PH,E ,CONTROL,,PH_E _CONTROL
145,SN,C6,CANAR_HIGH,QPYR,CLAR_50,,,QPYR_CLAR_50__
